ego	alter	pair	tie	village_code_ego	village_code_alter	T2	T1
Ers1-7806f172-80e6-4092-a88f-8b00cf13858f	blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	----------00000011111222222233333344555666777788888889999aaabbbcccccdeeeEffffHklrs	yes	26	26	0.018867924528301886	0.05128205128205128
blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	----------+00111122222233333344444455566777788999999aaaaaaabbbccccdddeeeeffffHklVY	none	26	26	0.06451612903225806	0.05357142857142857
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	----------001111122222222333333334444455556777788999aaaaaabbbbbcccccccddeeEffHklrs	yes	26	26	0	0.03225806451612903
blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------000011222222222333333344555666777888999999aaaaaaabbcccccccdddeeeeffHklnz	none	26	26	0.125	0.05555555555555555
enz0-ce7dad59-da03-48d6-9649-40202eba50aa	enz0-f05ca85d-82e0-40e0-abe7-0b0e96a9ba38	----------000000000000222334444555566677888899999aaaaaaaaabbbbccdddddeeeeeeeefnnzz	none	26	26	0	0.038461538461538464
enz0-ce7dad59-da03-48d6-9649-40202eba50aa	Ers1-340e84bd-06ba-4fb5-99ed-4a46dfffdb65	----------0000000122334444444455556666678899999aaaaaaabbbbbcddddddddeeeeeEffffnrsz	yes	26	26	0	0.058823529411764705
Ers1-f3027bcc-c8c2-474e-af33-f14324abcbe6	enz0-ce7dad59-da03-48d6-9649-40202eba50aa	----------00000011222223333344444445566677788999aaaaaaabbbbccccccddddeeeeeEfffnrsz	none	26	26	0.03571428571428571	0.05128205128205128
enz0-f05ca85d-82e0-40e0-abe7-0b0e96a9ba38	1138021f-5f85-44c5-8a95-ed6ba3e0a277	---------00000000011122233344455555566777888888999aaaaaaabbbbccddeeeeeeefffnz	none	26	26	0.02702702702702703	0.05
1138021f-5f85-44c5-8a95-ed6ba3e0a277	Ers1-340e84bd-06ba-4fb5-99ed-4a46dfffdb65	---------000011112233344444445555556666778888999aaaaabbbbbcdddddeeeeEffffffrs	none	26	26	0	0
Ers1-f3027bcc-c8c2-474e-af33-f14324abcbe6	1138021f-5f85-44c5-8a95-ed6ba3e0a277	---------0001111122222333333444444555566777788889aaaaabbbbccccccdeeeeEfffffrs	none	26	26	0.043478260869565216	0.0784313725490196
enz0-ce7dad59-da03-48d6-9649-40202eba50aa	1138021f-5f85-44c5-8a95-ed6ba3e0a277	---------000000011122223334444455555566677788889999aaaaaaaabbccdddddeeeeeffnz	none	26	26	0	0.05555555555555555
blkH-c58c6cc8-9f1e-4d48-be2f-389e41f01397	enz0-f05ca85d-82e0-40e0-abe7-0b0e96a9ba38	----------000000001112233344445556677888888899999aaaabbbbbcccccddeeeeeeeeffffHklnz	none	26	26	0.08	0.05263157894736842
blkH-c58c6cc8-9f1e-4d48-be2f-389e41f01397	Ers1-340e84bd-06ba-4fb5-99ed-4a46dfffdb65	----------0001111233344444444555666678888899999aabbbbbbccccdddddeeeeeEfffffffHklrs	none	26	26	0	0
blkH-c58c6cc8-9f1e-4d48-be2f-389e41f01397	Ers1-f3027bcc-c8c2-474e-af33-f14324abcbe6	----------00111112222333333444444456677788888999aabbbbbcccccccccdeeeeeEffffffHklrs	none	26	26	0.041666666666666664	0.058823529411764705
blkH-c58c6cc8-9f1e-4d48-be2f-389e41f01397	enz0-ce7dad59-da03-48d6-9649-40202eba50aa	----------0000001112223334444445556667788888999999aaaaabbbcccccdddddeeeeeefffHklnz	yes	26	26	0.14285714285714285	0.10638297872340426
blkH-c58c6cc8-9f1e-4d48-be2f-389e41f01397	1138021f-5f85-44c5-8a95-ed6ba3e0a277	---------000111111222333344444555556677788888889999aaabbbcccccddeeeeefffffHkl	none	26	26	0.047619047619047616	0.1590909090909091
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	enz0-f05ca85d-82e0-40e0-abe7-0b0e96a9ba38	----------00000000001122234444555567777888888899999aaaaaabbbcccdddeeeeeeeeeeffnnzz	none	26	26	0.025	0.01694915254237288
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	Ers1-340e84bd-06ba-4fb5-99ed-4a46dfffdb65	----------000001112234444444455556667778888899999aaaabbbbccddddddeeeeeeeEfffffnrsz	none	26	26	0	0.037037037037037035
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	Ers1-f3027bcc-c8c2-474e-af33-f14324abcbe6	----------0000111122222333344444445567777788888999aaaabbbcccccccddeeeeeeeEffffnrsz	none	26	26	0.06382978723404255	0.029411764705882353
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	enz0-ce7dad59-da03-48d6-9649-40202eba50aa	----------000000001122223444444555566777788888999999aaaaaaabcccddddddeeeeeeeefnnzz	none	26	26	0.08108108108108109	0.03333333333333333
enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	1138021f-5f85-44c5-8a95-ed6ba3e0a277	---------00000111112222334444455555567777788888889999aaaaabcccdddeeeeeeefffnz	none	26	26	0.07272727272727272	0.022727272727272728
blkH-c58c6cc8-9f1e-4d48-be2f-389e41f01397	enz0-e8590e7c-417e-4985-a8dd-2280ae4c91f7	----------000011111222334444445556777788888888999999aabbccccccdddeeeeeeeeffffHklnz	none	26	26	0.11290322580645161	0.03508771929824561
4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------00011122222333344444444455566667777888889999aaaaabbbbbbbcddeeeeffffHkllo	none	26	26	0	0.03225806451612903
blkH-76ab9730-78c6-416e-b93b-60f97275edea	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------00011122233334444445556666677777777888999999aaaaabbbbbbbbcddeeefffHHkkll	none	26	26	0.02857142857142857	0.019230769230769232
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------0001111222223333444444445567777788888999999aaaaaabbbbbbcdddddEfffffHklrs	yes	26	26	0.18181818181818182	0
+VY8-e18947a2-ea9f-47f1-a5da-3a44b940df6f	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------+001111222333444444444455566777778888999999aaaaaaaabbbbbdddeeffffffHklVY	none	26	26	0.07692307692307693	0.015873015873015872
Ers1-a43543cc-bd07-4aba-812f-42abc3517f28	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------0011111222223333344444444455556777778888999aaaaaaabbbbbbbcccddEffffHklrs	none	26	26	0.041666666666666664	0.038461538461538464
blkH-24744230-1b97-4195-abb5-84936afd87fa	enz0-0d3f9285-2398-47e6-aca2-ada2c6a8fc09	----------0000112222223333444444555666777788888999999aaaaaaaabbbbcccdddeeffffHklnz	none	26	26	0.0625	0.10526315789473684
blkH-6152c132-7c22-4a5e-ab9d-3709e23393cc	blkH-24744230-1b97-4195-abb5-84936afd87fa	----------001111222222233333334444445555667777788999999aaaaabbbbbbccccddeeffHHkkll	none	26	26	0.09090909090909091	0.05357142857142857
Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	4lo4-ebedba06-2a6f-48ce-9501-3e8f248b3726	----------000112222333334444444556667888888899aaaaaaaabbbcccccccdeeeeeeeeeEffflors	none	26	26	0.16	0
Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	blkH-76ab9730-78c6-416e-b93b-60f97275edea	----------000112233333444455666677777888889999aaaaaaaabbbbcccccccdeeeeeeeeEffHklrs	none	26	26	0.11428571428571428	0.046511627906976744
Ers1-72d1ba90-ff2b-4c74-8df8-9d8d03a429a3	Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	----------00011122223333344444457788888889999aaaaaaaaabbcccccccddddeeeeeEEffffrrss	none	26	26	0.08333333333333333	0.04878048780487805
blkH-f76107be-0a15-446b-8f07-b58b8379db6e	Ers1-cca8acef-45c8-40c3-ace3-48ae3e298aae	----------000011123333444445556667777888888899aaaaaaabbbbbbccccccdeeeeeeeEfffHklrs	none	26	26	0.025	0.04878048780487805
