gender.mm	gender.mf	indigenous.both	indigenous.one	religion.same	age_difference_abs	average_age	wealth_difference_abs	average_wealth	education_difference_abs	average_education	household_same	related	strain_sharing_rate	village_code_w3	bray_curtis_sim
FALSE	TRUE	TRUE	FALSE	TRUE	8	47	1	2.5	1	0.5	FALSE	0	16	21	0.6155870999999993
FALSE	FALSE	FALSE	FALSE	TRUE	11	27.5	1	1.5	1	1.5	FALSE	0	4.081632653061225	21	0.6543175925905557
FALSE	TRUE	FALSE	TRUE	TRUE	27	32.5	1	3.5	5	2.5	FALSE	0	2.083333333333333	21	0.842428958186062
TRUE	FALSE	FALSE	TRUE	TRUE	10	23	2	4	1	5.5	FALSE	0	1.3888888888888888	21	0.5955987382394956
FALSE	TRUE	TRUE	FALSE	TRUE	24	45	2	3	3	1.5	FALSE	0	14.285714285714285	21	0.5787557998180106
FALSE	TRUE	FALSE	TRUE	TRUE	17	50.5	0	3	2	2	FALSE	0	8.333333333333332	21	0.6277923627792366
FALSE	TRUE	TRUE	FALSE	TRUE	36	42	2	4	2	1	FALSE	0	11.666666666666666	21	0.47531140000000005
FALSE	TRUE	TRUE	FALSE	TRUE	10	29	0	1	3	3.5	FALSE	0	9.836065573770492	21	0.5549251445074848
FALSE	TRUE	FALSE	TRUE	TRUE	14	31	2	4	0	2	FALSE	0	8.333333333333332	21	0.4578123831249531
FALSE	TRUE	TRUE	FALSE	TRUE	15	36.5	2	2	5	2.5	FALSE	0	12.878787878787879	21	0.589951246029253
FALSE	FALSE	FALSE	TRUE	TRUE	12	35	1	3.5	4	2	FALSE	0	9.75609756097561	21	0.7052168557825277
FALSE	FALSE	TRUE	FALSE	TRUE	6	27	2	4	3	3.5	FALSE	0	8.333333333333332	21	0.6505054922219794
TRUE	FALSE	FALSE	TRUE	FALSE	21	26.5	0	4	2	4	FALSE	0	4.477611940298507	21	0.5479012321851853
FALSE	FALSE	TRUE	FALSE	TRUE	5	51.5	1	4.5	0	0	FALSE	0	2.857142857142857	21	0.7268223048832715
FALSE	FALSE	FALSE	TRUE	TRUE	32	35	1	2.5	6	3	FALSE	0	7.608695652173914	21	0.6321687023072144
FALSE	TRUE	TRUE	FALSE	TRUE	6	46	3	3.5	2	1	FALSE	0	1.6666666666666667	21	0.627732067520571
FALSE	TRUE	FALSE	TRUE	TRUE	9	23.5	2	4	0	6	FALSE	0	5.172413793103448	21	0.631739452695782
FALSE	TRUE	TRUE	FALSE	TRUE	32	51	4	3	1	3.5	FALSE	0	8.433734939759036	21	0.728003532000883
FALSE	FALSE	FALSE	TRUE	FALSE	18	35	1	1.5	3	1.5	FALSE	0	10.526315789473683	21	0.5397658602341399
FALSE	FALSE	FALSE	TRUE	TRUE	0	29	1	1.5	0	3	FALSE	0	8.974358974358974	21	0.4654197276642178
FALSE	FALSE	TRUE	FALSE	FALSE	18	36	1	3.5	5	2.5	FALSE	0	5.405405405405405	21	0.5295883177529913
FALSE	FALSE	FALSE	TRUE	TRUE	17	32.5	2	2	5	2.5	FALSE	0	12.149532710280374	21	0.46947781431723484
FALSE	TRUE	FALSE	TRUE	FALSE	6	29	0	2	0	3	FALSE	0	4.938271604938271	21	0.35218276195430975
FALSE	FALSE	FALSE	FALSE	FALSE	9	32.5	2	2	1	2.5	FALSE	0	9.574468085106384	21	0.5439409771970489
FALSE	FALSE	FALSE	TRUE	TRUE	16	45	3	2.5	3	1.5	FALSE	0	3.6585365853658534	21	0.6074331981417
FALSE	FALSE	FALSE	TRUE	FALSE	10	31	3	3.5	2	4	FALSE	0	8.433734939759036	21	0.4066008340592499
FALSE	TRUE	TRUE	FALSE	FALSE	17	24.5	0	2	1	6.5	FALSE	0	2.5974025974025974	21	0.44101000744449564
FALSE	FALSE	TRUE	FALSE	TRUE	5	24.5	0	1	0	5	FALSE	0	6.185567010309279	21	0.5646981958858115
FALSE	TRUE	FALSE	TRUE	TRUE	12	22	2	2	2	6	FALSE	0	7.6923076923076925	21	0.6901177619764479
FALSE	TRUE	FALSE	TRUE	TRUE	15	24.5	2	3	0	3	FALSE	0	4.477611940298507	21	0.6848691581911204
FALSE	FALSE	FALSE	TRUE	TRUE	22	48	2	2	3	1.5	FALSE	0	2.3529411764705883	21	0.6587690829384534
FALSE	FALSE	TRUE	FALSE	TRUE	9	30.5	1	2.5	1	5.5	FALSE	0	6.172839506172839	21	0.655052972473514
FALSE	FALSE	FALSE	TRUE	TRUE	14	29	1	1.5	1	4.5	FALSE	0	7.633587786259542	21	0.5774767802708975
FALSE	TRUE	TRUE	FALSE	TRUE	41	58.5	0	1	1	0.5	FALSE	0	7.142857142857142	21	0.8347750834775097
FALSE	FALSE	FALSE	TRUE	TRUE	2	18	1	3.5	1	6.5	FALSE	0	14.393939393939394	21	0.5159784146140298
FALSE	TRUE	TRUE	FALSE	TRUE	10	29	4	3	1	2.5	FALSE	0	8.536585365853659	21	0.6338517647667072
TRUE	FALSE	FALSE	FALSE	FALSE	0	16	1	3.5	1	5.5	FALSE	0	10	21	0.651335439465824
FALSE	TRUE	TRUE	FALSE	TRUE	18	25	1	1.5	3	4.5	FALSE	0	4.411764705882353	21	0.6635141355401044
FALSE	TRUE	FALSE	TRUE	TRUE	34	36	1	3.5	5	2.5	FALSE	0	4.25531914893617	21	0.4641942000000002
FALSE	TRUE	TRUE	FALSE	TRUE	2	19	0	3	0	6	FALSE	0	2.564102564102564	21	0.8728757237254346
TRUE	FALSE	TRUE	FALSE	TRUE	19	27.5	3	3.5	6	3	FALSE	0	2.3255813953488373	21	0.5092511699118563
FALSE	TRUE	FALSE	TRUE	FALSE	26	31	0	1	5	2.5	FALSE	0	14.285714285714285	21	0.8673299265340148
FALSE	TRUE	FALSE	TRUE	TRUE	6	19	1	3.5	2	5	FALSE	0	0	21	0.6501654600661841
FALSE	TRUE	FALSE	FALSE	TRUE	13	22.5	1	2.5	2	4	FALSE	0	5.128205128205128	21	0.6957899912630018
FALSE	TRUE	TRUE	FALSE	TRUE	12	31	1	2.5	3	1.5	FALSE	0	1.3888888888888888	21	0.5169146415426783
FALSE	FALSE	FALSE	TRUE	FALSE	8	23	1	2.5	1	4.5	FALSE	0	6.521739130434782	21	0.7003952801581135
FALSE	FALSE	FALSE	TRUE	FALSE	5	21.5	0	3	1	5.5	FALSE	0	4.054054054054054	21	0.753884536917319
FALSE	FALSE	FALSE	TRUE	TRUE	2	41	2	2	1	1.5	FALSE	0	8.91089108910891	21	0.4709957264502137
FALSE	TRUE	FALSE	TRUE	FALSE	19	35.5	2	3	0	3	FALSE	0	5.681818181818182	21	0.5316328873468444
FALSE	FALSE	TRUE	FALSE	TRUE	6	21	1	4.5	4	4	FALSE	0	4.10958904109589	21	0.5162302967539409
FALSE	TRUE	TRUE	FALSE	TRUE	2	36	0	2	6	3	FALSE	0	1.3333333333333335	21	0.562135921893204
FALSE	FALSE	TRUE	FALSE	TRUE	27	35.5	1	2.5	4	2	FALSE	0	13.541666666666666	21	0.5722593427740652
FALSE	FALSE	TRUE	FALSE	TRUE	16	59	1	2.5	0	0	FALSE	0	9.090909090909092	21	0.6063767771304496
FALSE	FALSE	TRUE	FALSE	TRUE	32	63	0	1	2	1	FALSE	0	7.142857142857142	21	0.8266977653395531
FALSE	TRUE	FALSE	FALSE	TRUE	51	41.5	2	3	6	3	FALSE	0	0	21	0.800920630782537
FALSE	TRUE	TRUE	FALSE	TRUE	25	47.5	0	3	6	3	FALSE	0	8.955223880597014	21	0.6030640404596073
FALSE	FALSE	FALSE	TRUE	TRUE	38	38	0	3	6	3	FALSE	0	14.285714285714285	21	0.6709656164517187
FALSE	FALSE	TRUE	FALSE	TRUE	22	33	2	2	4	2	FALSE	0	12.643678160919542	21	0.4364710972351152
FALSE	TRUE	TRUE	FALSE	TRUE	16	24	0	2	2	4	FALSE	0	15.584415584415584	21	0.6235818247163648
FALSE	TRUE	TRUE	FALSE	TRUE	8	53	3	3.5	0	0	FALSE	0	8.21917808219178	21	0.6968954000000006
FALSE	TRUE	FALSE	TRUE	FALSE	34	43	1	2.5	3	1.5	FALSE	0	5.633802816901409	21	0.47001529149158977
FALSE	TRUE	FALSE	TRUE	FALSE	2	19	2	2	1	5.5	FALSE	0	0	21	0.910986168845159
TRUE	FALSE	FALSE	TRUE	TRUE	43	38.5	1	2.5	5	2.5	FALSE	0	7.575757575757576	21	0.5091957772989445
TRUE	FALSE	FALSE	TRUE	TRUE	13	22.5	0	3	1	5.5	FALSE	0	3.8461538461538463	21	0.5948836417907262
FALSE	FALSE	FALSE	TRUE	FALSE	17	30.5	0	1	1	2.5	FALSE	0	5.128205128205128	21	0.46289098056635253
FALSE	TRUE	TRUE	FALSE	TRUE	8	36	1	2.5	1	3.5	FALSE	0	9.375	21	0.39004066950203364
FALSE	FALSE	TRUE	FALSE	TRUE	4	25	1	2.5	1	5.5	FALSE	0	5.633802816901409	21	0.49036922355538387
FALSE	FALSE	TRUE	FALSE	TRUE	2	50	3	3.5	0	0	FALSE	0	1.694915254237288	21	0.648387216451505
